Algorithm,Dataset Type,Data Size,Average Execution Time(ms),Comparisons,Assignments,Memory Usage(bytes),Theoretical Stability,Measured Stability
Merge Sort,Sorted(Desc),1000,0.00,4932,19952,8000,Stable,Stable
Merge Sort,Sorted(Desc),10000,2.00,64608,267232,80000,Stable,Stable
Quick Sort,Partially Sorted,1000,0.00,16527,23491,4120,Unstable,Unstable
Quick Sort,Partially Sorted,10000,2.00,186664,320358,40168,Unstable,Unstable
Quick Sort,Random,1000,0.00,10158,19039,4120,Unstable,Unstable
Quick Sort,Random,10000,1.00,153690,246253,40168,Unstable,Unstable
Quick Sort,Reverse Sorted,1000,4.00,499500,752496,4120,Unstable,Unstable
Quick Sort,Reverse Sorted,10000,396.20,49995000,75024996,40168,Unstable,Unstable
Quick Sort,Sorted(Asc),1000,7.00,499500,1502496,4120,Unstable,Unstable
Quick Sort,Sorted(Asc),10000,625.60,49995000,150024996,40168,Unstable,Unstable
Quick Sort,Sorted(Desc),1000,4.00,499500,752496,4120,Unstable,Unstable
Quick Sort,Sorted(Desc),10000,392.00,49995000,75024996,40168,Unstable,Unstable
Selection Sort,Partially Sorted,1000,3.20,499500,1260,4008,Unstable,Unstable
Selection Sort,Partially Sorted,10000,256.20,49995000,29364,40008,Unstable,Unstable
Selection Sort,Random,1000,3.00,499500,2976,4008,Unstable,Unstable
Selection Sort,Random,10000,251.20,49995000,29982,40008,Unstable,Unstable
Selection Sort,Reverse Sorted,1000,3.00,499500,1500,4008,Unstable,Unstable
Selection Sort,Reverse Sorted,10000,257.70,49995000,15000,40008,Unstable,Unstable
Selection Sort,Sorted(Asc),1000,5.70,499500,0,4008,Unstable,Unstable
Selection Sort,Sorted(Asc),10000,250.40,49995000,0,40008,Unstable,Unstable
Selection Sort,Sorted(Desc),1000,3.00,499500,1500,4008,Unstable,Unstable
Selection Sort,Sorted(Desc),10000,256.10,49995000,15000,40008,Unstable,Unstable
Tim Sort,Partially Sorted,1000,0.00,10318,16426,24000,Stable,Stable
Tim Sort,Partially Sorted,10000,2.00,126908,228159,399360,Stable,Stable
Tim Sort,Random,1000,0.00,13300,19422,24000,Stable,Stable
Tim Sort,Random,10000,2.00,144264,245849,399360,Stable,Stable
Tim Sort,Reverse Sorted,1000,0.00,17844,27340,24000,Stable,Stable
Tim Sort,Reverse Sorted,10000,2.00,139320,293680,399360,Stable,Stable
Tim Sort,Sorted(Asc),1000,0.00,3528,11936,24000,Stable,Stable
Tim Sort,Sorted(Asc),10000,1.00,55020,198680,399360,Stable,Stable
Tim Sort,Sorted(Desc),1000,0.00,17844,27340,24000,Stable,Stable
Tim Sort,Sorted(Desc),10000,2.00,139320,293680,399360,Stable,Stable
Tournament Sort,Partially Sorted,1000,0.00,11023,16071,32564,Unstable,Unstable
Tournament Sort,Partially Sorted,10000,3.00,156383,219151,473204,Unstable,Unstable
Tournament Sort,Random,1000,0.00,11023,16071,32564,Unstable,Unstable
Tournament Sort,Random,10000,4.00,156383,219151,473204,Unstable,Unstable
Tournament Sort,Reverse Sorted,1000,0.00,11023,16071,32564,Unstable,Unstable
Tournament Sort,Reverse Sorted,10000,3.00,156383,219151,473204,Unstable,Unstable
Tournament Sort,Sorted(Asc),1000,0.00,11023,16071,32564,Unstable,Unstable
Tournament Sort,Sorted(Asc),10000,3.00,156383,219151,473204,Unstable,Unstable
Tournament Sort,Sorted(Desc),1000,0.00,11023,16071,32564,Unstable,Unstable
Tournament Sort,Sorted(Desc),10000,3.00,156383,219151,473204,Unstable,Unstable
