알고리즘,데이터셋 유형,데이터 크기,평균 실행 시간(ms),비교 횟수,할당 횟수,메모리 사용량(바이트),이론적 안정성,측정된 안정성
Bubble Sort,무작위,1000,0.10,498759,742002,4005,안정,안정
Bubble Sort,무작위,10000,89.40,49991760,75551493,40005,안정,안정
Bubble Sort,무작위,100000,14290.50,4999627194,7477534230,400005,안정,안정
Bubble Sort,부분 정렬,1000,0.00,499364,278700,4005,안정,안정
Bubble Sort,부분 정렬,10000,62.40,49968894,28462095,40005,안정,안정
Bubble Sort,부분 정렬,100000,7785.10,4999882472,2976704937,400005,안정,안정
Bubble Sort,역순 정렬,1000,1.00,499500,1498500,4005,안정,안정
Bubble Sort,역순 정렬,10000,91.50,49995000,149985000,40005,안정,안정
Bubble Sort,역순 정렬,100000,9117.10,4999950000,14999850000,400005,안정,안정
Bubble Sort,정렬됨(내림차순),1000,1.00,499500,1498500,4005,안정,안정
Bubble Sort,정렬됨(내림차순),10000,91.10,49995000,149985000,40005,안정,안정
Bubble Sort,정렬됨(내림차순),100000,9117.70,4999950000,14999850000,400005,안정,안정
Bubble Sort,정렬됨(오름차순),1000,0.00,999,0,4005,안정,안정
Bubble Sort,정렬됨(오름차순),10000,0.00,9999,0,40005,안정,안정
Bubble Sort,정렬됨(오름차순),100000,0.00,99999,0,400005,안정,안정
Cocktail Sort,무작위,1000,0.00,378222,742002,4000,안정,안정
Cocktail Sort,무작위,10000,67.70,37958129,75551493,40000,안정,안정
Cocktail Sort,무작위,100000,8531.30,3742864989,7477534230,400000,안정,안정
Cocktail Sort,부분 정렬,1000,0.00,175890,278700,4000,안정,안정
Cocktail Sort,부분 정렬,10000,22.00,16877409,28462095,40000,안정,안정
Cocktail Sort,부분 정렬,100000,2578.30,1680006645,2976704937,400000,안정,안정
Cocktail Sort,역순 정렬,1000,0.10,499500,1498500,4000,안정,안정
Cocktail Sort,역순 정렬,10000,66.10,49995000,149985000,40000,안정,안정
Cocktail Sort,역순 정렬,100000,6565.50,4999950000,14999850000,400000,안정,안정
Cocktail Sort,정렬됨(내림차순),1000,0.00,499500,1498500,4000,안정,안정
Cocktail Sort,정렬됨(내림차순),10000,65.00,49995000,149985000,40000,안정,안정
Cocktail Sort,정렬됨(내림차순),100000,6587.50,4999950000,14999850000,400000,안정,안정
Cocktail Sort,정렬됨(오름차순),1000,0.00,999,0,4000,안정,안정
Cocktail Sort,정렬됨(오름차순),10000,0.00,9999,0,40000,안정,안정
Cocktail Sort,정렬됨(오름차순),100000,0.00,99999,0,400000,안정,안정
Comb Sort,무작위,1000,0.00,22709,13332,4000,불안정,불안정
Comb Sort,무작위,10000,0.00,336733,190047,40000,불안정,불안정
Comb Sort,무작위,100000,7.00,3966742,2437902,400000,불안정,불안정
Comb Sort,부분 정렬,1000,0.00,22709,10962,4000,불안정,불안정
Comb Sort,부분 정렬,10000,0.00,326734,168846,40000,불안정,불안정
