알고리즘,데이터셋 유형,데이터 크기,평균 실행 시간(ms),비교 횟수,할당 횟수,메모리 사용량(바이트),이론적 안정성,측정된 안정성
Comb Sort,부분 정렬,100000,7.00,4066741,2246280,400000,불안정,불안정
Comb Sort,역순 정렬,1000,0.00,19712,4746,4000,불안정,불안정
Comb Sort,역순 정렬,10000,0.00,286738,60234,40000,불안정,불안정
Comb Sort,역순 정렬,100000,2.00,3766744,732522,400000,불안정,불안정
Comb Sort,정렬됨(내림차순),1000,0.00,19712,4746,4000,불안정,불안정
Comb Sort,정렬됨(내림차순),10000,0.00,286738,60234,40000,불안정,불안정
Comb Sort,정렬됨(내림차순),100000,2.00,3766744,732522,400000,불안정,불안정
Comb Sort,정렬됨(오름차순),1000,0.00,18713,0,4000,불안정,불안정
Comb Sort,정렬됨(오름차순),10000,0.00,276739,0,40000,불안정,불안정
Comb Sort,정렬됨(오름차순),100000,1.00,3666745,0,400000,불안정,불안정
Heap Sort,무작위,1000,0.00,16869,27210,4000,불안정,불안정
Heap Sort,무작위,10000,0.10,235312,372279,40000,불안정,불안정
Heap Sort,무작위,100000,11.00,3019474,4725249,400000,불안정,불안정
Heap Sort,부분 정렬,1000,0.00,17205,28302,4000,불안정,불안정
Heap Sort,부분 정렬,10000,0.00,239383,384090,40000,불안정,불안정
Heap Sort,부분 정렬,100000,10.00,3064029,4844130,400000,불안정,불안정
Heap Sort,역순 정렬,1000,0.00,15965,24948,4000,불안정,불안정
Heap Sort,역순 정렬,10000,0.00,226682,350088,40000,불안정,불안정
Heap Sort,역순 정렬,100000,9.20,2926640,4492302,400000,불안정,불안정
Heap Sort,정렬됨(내림차순),1000,0.00,15965,24948,4000,불안정,불안정
Heap Sort,정렬됨(내림차순),10000,0.00,226682,350088,40000,불안정,불안정
Heap Sort,정렬됨(내림차순),100000,9.60,2926640,4492302,400000,불안정,불안정
Heap Sort,정렬됨(오름차순),1000,0.00,17583,29124,4000,불안정,불안정
Heap Sort,정렬됨(오름차순),10000,0.70,244460,395868,40000,불안정,불안정
Heap Sort,정렬됨(오름차순),100000,10.00,3112517,4952562,400000,불안정,불안정
Insertion Sort,무작위,1000,0.00,248323,249332,4008,안정,안정
Insertion Sort,무작위,10000,13.40,25193824,25203829,40008,안정,안정
Insertion Sort,무작위,100000,1312.20,2492611398,2492711408,400008,안정,안정
Insertion Sort,부분 정렬,1000,0.00,93899,94898,4008,안정,안정
Insertion Sort,부분 정렬,10000,5.20,9497364,9507363,40008,안정,안정
Insertion Sort,부분 정렬,100000,518.30,992334978,992434977,400008,안정,안정
Insertion Sort,역순 정렬,1000,0.00,499500,501498,4008,안정,안정
Insertion Sort,역순 정렬,10000,26.00,49995000,50014998,40008,안정,안정
Insertion Sort,역순 정렬,100000,2611.60,4999950000,5000149998,400008,안정,안정
Insertion Sort,정렬됨(내림차순),1000,0.00,499500,501498,4008,안정,안정
Insertion Sort,정렬됨(내림차순),10000,26.00,49995000,50014998,40008,안정,안정
Insertion Sort,정렬됨(내림차순),100000,2612.20,4999950000,5000149998,400008,안정,안정
Insertion Sort,정렬됨(오름차순),1000,0.00,999,1998,4008,안정,안정
Insertion Sort,정렬됨(오름차순),10000,0.00,9999,19998,40008,안정,안정
Insertion Sort,정렬됨(오름차순),100000,0.00,99999,199998,400008,안정,안정
Intro Sort,무작위,1000,0.00,10475,17305,4000,불안정,불안정
Intro Sort,무작위,10000,0.00,146562,212164,40000,불안정,불안정
Intro Sort,무작위,100000,5.90,1832295,2824393,400000,불안정,불안정
Intro Sort,부분 정렬,1000,0.00,10533,13841,4000,불안정,불안정
Intro Sort,부분 정렬,10000,0.00,154617,223265,40000,불안정,불안정
Intro Sort,부분 정렬,100000,4.00,1951791,2687812,400000,불안정,불안정
Intro Sort,역순 정렬,1000,0.00,16542,27566,4000,불안정,불안정
Intro Sort,역순 정렬,10000,0.00,255042,427674,40000,불안정,불안정
Intro Sort,역순 정렬,100000,4.00,3232215,5716482,400000,불안정,불안정
Intro Sort,정렬됨(내림차순),1000,0.00,16542,27566,4000,불안정,불안정
Intro Sort,정렬됨(내림차순),10000,0.00,255042,427674,40000,불안정,불안정
Intro Sort,정렬됨(내림차순),100000,4.00,3232215,5716482,400000,불안정,불안정
Intro Sort,정렬됨(오름차순),1000,0.00,6942,10881,4000,불안정,불안정
Intro Sort,정렬됨(오름차순),10000,0.00,108986,168168,40000,불안정,불안정
Intro Sort,정렬됨(오름차순),100000,1.00,1391821,2135195,400000,불안정,불안정
Library Sort,무작위,1000,1.00,8208,181577,12000,안정,안정
Library Sort,무작위,10000,93.50,105562,16993625,120000,안정,안정
Library Sort,무작위,100000,6390.90,702027,460298978,1200000,안정,안정
Library Sort,부분 정렬,1000,0.00,999,1002,12000,안정,안정
Library Sort,부분 정렬,10000,68.70,65013,2491838,120000,안정,안정
Library Sort,부분 정렬,100000,8783.10,1305092,618339874,1200000,안정,안정
Library Sort,역순 정렬,1000,1.00,8977,501500,12000,안정,안정
Library Sort,역순 정렬,10000,124.20,123617,50015000,120000,안정,안정
Library Sort,역순 정렬,100000,12336.70,1568929,5000150000,1200000,안정,안정
Library Sort,정렬됨(내림차순),1000,1.10,8977,501500,12000,안정,안정
Library Sort,정렬됨(내림차순),10000,122.50,123617,50015000,120000,안정,안정
Library Sort,정렬됨(내림차순),100000,12434.90,1568929,5000150000,1200000,안정,안정
Library Sort,정렬됨(오름차순),1000,0.00,999,1002,12000,안정,안정
Library Sort,정렬됨(오름차순),10000,26.60,9999,10002,120000,안정,안정
Library Sort,정렬됨(오름차순),100000,2675.20,99999,100002,1200000,안정,안정
Merge Sort,무작위,1000,0.00,8704,19952,8000,안정,안정
Merge Sort,무작위,10000,0.00,120454,267232,80000,안정,안정
Merge Sort,무작위,100000,9.00,1536181,3337856,800000,안정,안정
Merge Sort,부분 정렬,1000,0.00,8549,19952,8000,안정,안정
Merge Sort,부분 정렬,10000,0.00,119526,267232,80000,안정,안정
Merge Sort,부분 정렬,100000,6.00,1525696,3337856,800000,안정,안정
Merge Sort,역순 정렬,1000,0.00,4932,19952,8000,안정,안정
Merge Sort,역순 정렬,10000,0.00,64608,267232,80000,안정,안정
Merge Sort,역순 정렬,100000,2.00,815024,3337856,800000,안정,안정
Merge Sort,정렬됨(내림차순),1000,0.00,4932,19952,8000,안정,안정
Merge Sort,정렬됨(내림차순),10000,0.00,64608,267232,80000,안정,안정
Merge Sort,정렬됨(내림차순),100000,2.00,815024,3337856,800000,안정,안정
Merge Sort,정렬됨(오름차순),1000,0.00,5044,19952,8000,안정,안정
Merge Sort,정렬됨(오름차순),10000,0.00,69008,267232,80000,안정,안정
Merge Sort,정렬됨(오름차순),100000,2.00,853904,3337856,800000,안정,안정
Quick Sort,무작위,1000,0.00,10158,19039,4120,불안정,불안정
Quick Sort,무작위,10000,0.00,153690,246253,40168,불안정,불안정
Quick Sort,무작위,100000,6.00,1931920,3207300,400204,불안정,불안정
Quick Sort,부분 정렬,1000,0.00,16527,23491,4120,불안정,불안정
Quick Sort,부분 정렬,10000,0.00,186664,320358,40168,불안정,불안정
Quick Sort,부분 정렬,100000,5.00,2955555,4295640,400204,불안정,불안정
Quick Sort,역순 정렬,1000,0.00,499500,752496,4120,불안정,불안정
Quick Sort,역순 정렬,10000,39.50,49995000,75024996,40168,불안정,불안정
Quick Sort,역순 정렬,100000,3918.40,4999950000,7500249996,400204,불안정,불안정
Quick Sort,정렬됨(내림차순),1000,0.00,499500,752496,4120,불안정,불안정
Quick Sort,정렬됨(내림차순),10000,39.00,49995000,75024996,40168,불안정,불안정
Quick Sort,정렬됨(내림차순),100000,3916.80,4999950000,7500249996,400204,불안정,불안정
Quick Sort,정렬됨(오름차순),1000,0.30,499500,1502496,4120,불안정,불안정
Quick Sort,정렬됨(오름차순),10000,52.50,49995000,150024996,40168,불안정,불안정
Quick Sort,정렬됨(오름차순),100000,5247.30,4999950000,15000249996,400204,불안정,불안정
Selection Sort,무작위,1000,1.00,499500,2976,4008,불안정,불안정
Selection Sort,무작위,10000,117.20,49995000,29982,40008,불안정,불안정
Selection Sort,무작위,100000,11741.10,4999950000,299973,400008,불안정,불안정
Selection Sort,부분 정렬,1000,1.00,499500,1260,4008,불안정,불안정
Selection Sort,부분 정렬,10000,119.40,49995000,29364,40008,불안정,불안정
Selection Sort,부분 정렬,100000,11669.20,4999950000,299958,400008,불안정,불안정
Selection Sort,역순 정렬,1000,1.00,499500,1500,4008,불안정,불안정
Selection Sort,역순 정렬,10000,118.70,49995000,15000,40008,불안정,불안정
Selection Sort,역순 정렬,100000,11673.30,4999950000,150000,400008,불안정,불안정
Selection Sort,정렬됨(내림차순),1000,1.00,499500,1500,4008,불안정,불안정
Selection Sort,정렬됨(내림차순),10000,117.00,49995000,15000,40008,불안정,불안정
Selection Sort,정렬됨(내림차순),100000,11668.70,4999950000,150000,400008,불안정,불안정
Selection Sort,정렬됨(오름차순),1000,2.30,499500,0,4008,불안정,불안정
Selection Sort,정렬됨(오름차순),10000,131.00,49995000,0,40008,불안정,불안정
Selection Sort,정렬됨(오름차순),100000,11802.90,4999950000,0,400008,불안정,불안정
Tim Sort,무작위,1000,0.00,13300,19422,24000,안정,안정
Tim Sort,무작위,10000,0.00,144264,245849,399360,안정,안정
Tim Sort,무작위,100000,7.00,1875019,3188415,5193600,안정,안정
Tim Sort,부분 정렬,1000,0.00,10318,16426,24000,안정,안정
Tim Sort,부분 정렬,10000,0.00,126908,228159,399360,안정,안정
Tim Sort,부분 정렬,100000,4.00,1646116,2956289,5193600,안정,안정
Tim Sort,역순 정렬,1000,0.00,17844,27340,24000,안정,안정
Tim Sort,역순 정렬,10000,0.00,139320,293680,399360,안정,안정
Tim Sort,역순 정렬,100000,2.00,1793200,3788800,5193600,안정,안정
Tim Sort,정렬됨(내림차순),1000,0.00,17844,27340,24000,안정,안정
Tim Sort,정렬됨(내림차순),10000,0.00,139320,293680,399360,안정,안정
Tim Sort,정렬됨(내림차순),100000,2.00,1793200,3788800,5193600,안정,안정
Tim Sort,정렬됨(오름차순),1000,0.00,3528,11936,24000,안정,안정
Tim Sort,정렬됨(오름차순),10000,0.00,55020,198680,399360,안정,안정
Tim Sort,정렬됨(오름차순),100000,1.00,701200,2588800,5193600,안정,안정
Tournament Sort,무작위,1000,0.00,11023,16071,32564,불안정,불안정
Tournament Sort,무작위,10000,0.10,156383,219151,473204,불안정,불안정
Tournament Sort,무작위,100000,16.50,1831071,2393215,3945716,불안정,불안정
Tournament Sort,부분 정렬,1000,0.00,11023,16071,32564,불안정,불안정
Tournament Sort,부분 정렬,10000,0.00,156383,219151,473204,불안정,불안정
Tournament Sort,부분 정렬,100000,10.20,1831071,2393215,3945716,불안정,불안정
Tournament Sort,역순 정렬,1000,0.00,11023,16071,32564,불안정,불안정
Tournament Sort,역순 정렬,10000,0.00,156383,219151,473204,불안정,불안정
Tournament Sort,역순 정렬,100000,6.00,1831071,2393215,3945716,불안정,불안정
Tournament Sort,정렬됨(내림차순),1000,0.00,11023,16071,32564,불안정,불안정
Tournament Sort,정렬됨(내림차순),10000,0.00,156383,219151,473204,불안정,불안정
Tournament Sort,정렬됨(내림차순),100000,6.00,1831071,2393215,3945716,불안정,불안정
Tournament Sort,정렬됨(오름차순),1000,0.00,11023,16071,32564,불안정,불안정
Tournament Sort,정렬됨(오름차순),10000,0.00,156383,219151,473204,불안정,불안정
Tournament Sort,정렬됨(오름차순),100000,6.10,1831071,2393215,3945716,불안정,불안정
